date;station_uuid;diesel;e5;e10;dieselchange;e5change;e10change
2022-09-07 11:08:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.929;1.869;0;1;1
2022-09-07 11:27:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.899;1.839;1;1;1
2022-09-07 12:05:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.239;1.949;1.889;1;1;1
2022-09-07 12:16:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.229;1.949;1.889;1;0;0
2022-09-07 13:27:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.219;1.929;1.869;1;1;1
2022-09-07 14:14:10;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.909;1.849;1;1;1
2022-09-07 14:34:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.899;1.839;1;1;1
2022-09-07 15:11:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.939;1.879;1;1;1
2022-09-07 16:43:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.929;1.869;1;1;1
2022-09-07 17:03:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.949;1.889;1;1;1
2022-09-07 17:06:05;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.919;1.859;1;1;1
2022-09-07 17:12:10;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.919;1.859;1;0;0
2022-09-07 18:35:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.179;1.899;1.839;1;1;1
2022-09-07 18:44:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.899;1.839;1;0;0
2022-09-07 19:03:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.929;1.869;1;1;1
2022-09-07 20:14:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.919;1.859;1;1;1
2022-09-07 20:33:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.899;1.839;0;1;1
2022-09-07 20:37:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.899;1.839;1;0;0
2022-09-08 05:02:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;2.169;2.109;1;1;1
2022-09-08 07:47:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.959;1.899;1;1;1
2022-09-08 08:30:10;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.949;1.889;0;1;1
2022-09-08 09:09:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.239;1.999;1.939;1;1;1
2022-09-08 09:27:07;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.989;1.929;1;1;1
2022-09-08 11:20:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.159;1.899;1.839;1;1;1
2022-09-08 12:08:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.209;1.949;1.889;1;1;1
2022-09-08 14:09:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.929;1.869;1;1;1
2022-09-08 14:19:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.919;1.859;1;1;1
2022-09-08 14:30:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.909;1.849;0;1;1
2022-09-08 14:47:06;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.159;1.889;1.829;1;1;1
2022-09-08 15:08:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.199;1.929;1.869;1;1;1
2022-09-08 15:15:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.929;1.869;1;0;0
2022-09-08 16:37:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.189;1.889;1.829;0;1;1
2022-09-08 16:46:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.149;1.889;1.829;1;0;0
2022-09-08 17:23:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.909;1.849;1;1;1
2022-09-08 17:24:09;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.169;1.899;1.839;0;1;1
2022-09-08 17:47:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.159;1.899;1.839;1;0;0
2022-09-08 17:59:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.149;1.899;1.839;1;0;0
2022-09-08 18:39:08;018e8f3e-ae2f-40bc-89c1-bc3fe20eb462;2.139;1.879;1.819;1;1;1
